,Name,Population_2018,Land_area,Location
1,New York City,"8,398,748
",780.9 km,40.6635°N 73.9387°W
2,Los Angeles,"3,990,456
","1,213.9 km",34.0194°N 118.4108°W
3,Chicago,"2,705,994
",588.7 km,41.8376°N 87.6818°W
4,Houston,"2,325,502
","1,651.1 km",29.7866°N 95.3909°W
5,"Phoenix, Arizona","1,660,272
","1,340.6 km",33.5722°N 112.0901°W
6,Philadelphia,"1,584,138
",347.6 km,40.0094°N 75.1333°W
7,San Antonio,"1,532,233
","1,194.0 km",29.4724°N 98.5251°W
8,San Diego,"1,425,976
",842.3 km,32.8153°N 117.1350°W
9,Dallas,"1,345,047
",882.9 km,32.7933°N 96.7665°W
10,"San Jose, California","1,030,119
",459.7 km,37.2967°N 121.8189°W
11,"Austin, Texas","964,254
",809.9 km,30.3039°N 97.7544°W
12,"Jacksonville, Florida","903,889
","1,935.8 km",30.3369°N 81.6616°W
13,"Fort Worth, Texas","895,008
",888.1 km,32.7815°N 97.3467°W
14,"Columbus, Ohio","892,533
",565.9 km,39.9852°N 82.9848°W
15,San Francisco,"883,305
",121.5 km,37.7272°N 123.0322°W
16,"Charlotte, North Carolina","872,498
",791.0 km,35.2078°N 80.8310°W
17,Indianapolis,"867,125
",936.3 km,39.7767°N 86.1459°W
18,Seattle,"744,955
",217.0 km,47.6205°N 122.3509°W
19,Denver,"716,492
",397.0 km,39.7619°N 104.8811°W
20,"Washington, D.C.","702,455
",158.2 km,38.9041°N 77.0172°W
21,Boston,"694,583
",125.1 km,42.3320°N 71.0202°W
22,"El Paso, Texas","682,669
",665.1 km,31.8484°N 106.4270°W
23,Detroit,"672,662
",359.5 km,42.3830°N 83.1022°W
24,"Nashville, Tennessee","669,053
","1,232.6 km",36.1718°N 86.7850°W
25,"Portland, Oregon","653,115
",345.8 km,45.5370°N 122.6500°W
26,"Memphis, Tennessee","650,618
",822.1 km,35.1028°N 89.9774°W
27,Oklahoma City,"649,021
","1,570.3 km",35.4671°N 97.5137°W
28,Las Vegas,"644,644
",348.1 km,36.2292°N 115.2601°W
29,"Louisville, Kentucky","620,118
",682.5 km,38.1654°N 85.6474°W
30,Baltimore,"602,495
",209.5 km,39.3000°N 76.6105°W
31,Milwaukee,"592,025
",249.2 km,43.0633°N 87.9667°W
32,"Albuquerque, New Mexico","560,218
",487.4 km,35.1056°N 106.6474°W
33,"Tucson, Arizona","545,975
",597.8 km,32.1531°N 110.8706°W
34,"Fresno, California","530,093
",296.3 km,36.7836°N 119.7934°W
35,"Mesa, Arizona","508,958
",357.2 km,33.4019°N 111.7174°W
36,"Sacramento, California","508,529
",253.6 km,38.5666°N 121.4686°W
37,Atlanta,"498,044
",345.8 km,33.7629°N 84.4227°W
38,"Kansas City, Missouri","491,918
",815.8 km,39.1251°N 94.5510°W
39,"Colorado Springs, Colorado","472,688
",506.6 km,38.8673°N 104.7607°W
40,Miami,"470,914
",93.2 km,25.7752°N 80.2086°W
41,"Raleigh, North Carolina","469,298
",375.8 km,35.8306°N 78.6418°W
42,"Omaha, Nebraska","468,262
",345.0 km,41.2644°N 96.0451°W
43,"Long Beach, California","467,354
",130.3 km,33.8092°N 118.1553°W
44,"Virginia Beach, Virginia","450,189
",633.8 km,36.7800°N 76.0252°W
45,"Oakland, California","429,082
",144.8 km,37.7698°N 122.2257°W
46,Minneapolis,"425,403
",139.9 km,44.9633°N 93.2683°W
